"age";"workclass";"fnlwgt";"education";"education-num";"marital-status";"occupation";"relationship";"race";"sex";"capital-gain";"capital-loss";"hours-per-week";"native-country";"label"
44;"Private";310255;"Some-college";10;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;60;"United-States";1
28;"?";149646;"Some-college";10;"Divorced";"?";"Own-child";"White";"Female";0;0;20;"?";0
43;"Federal-gov";214541;"Some-college";10;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;40;"United-States";1
35;"Private";92028;"Masters";14;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;50;"United-States";1
55;"Local-gov";107308;"Masters";14;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;40;"United-States";1
53;"Private";355802;"Some-college";10;"Widowed";"Sales";"Unmarried";"White";"Female";0;0;30;"United-States";0
39;"Private";306646;"Some-college";10;"Married-civ-spouse";"Sales";"Husband";"White";"Male";3103;0;50;"United-States";1
37;"Private";234901;"Some-college";10;"Married-civ-spouse";"Sales";"Husband";"White";"Male";0;0;50;"Germany";1
36;"?";94954;"Assoc-voc";11;"Widowed";"?";"Not-in-family";"White";"Female";0;0;20;"United-States";0
47;"Private";105381;"HS-grad";9;"Divorced";"Sales";"Not-in-family";"White";"Female";0;0;40;"United-States";0
37;"Private";348796;"Bachelors";13;"Divorced";"Other-service";"Not-in-family";"White";"Male";0;0;40;"United-States";0
25;"Local-gov";77698;"Some-college";10;"Never-married";"Adm-clerical";"Unmarried";"Black";"Female";0;0;40;"United-States";0
57;"Private";49893;"Masters";14;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;60;"United-States";1
20;"Private";528616;"5th-6th";3;"Never-married";"Other-service";"Other-relative";"White";"Male";0;0;40;"Mexico";0
34;"Private";155151;"Some-college";10;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;40;"United-States";1
27;"Private";195337;"Some-college";10;"Never-married";"Machine-op-inspct";"Not-in-family";"White";"Female";0;0;40;"United-States";0
36;"Private";297449;"Bachelors";13;"Divorced";"Prof-specialty";"Not-in-family";"White";"Male";14084;0;40;"United-States";1
33;"Self-emp-not-inc";235271;"Bachelors";13;"Divorced";"Sales";"Not-in-family";"White";"Male";0;0;50;"United-States";1
25;"Private";234665;"Assoc-voc";11;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;45;"United-States";0
50;"Self-emp-not-inc";167380;"7th-8th";4;"Married-civ-spouse";"Farming-fishing";"Husband";"White";"Male";0;0;40;"United-States";0
48;"Private";209460;"HS-grad";9;"Divorced";"Handlers-cleaners";"Not-in-family";"White";"Male";0;0;40;"United-States";0
36;"State-gov";147258;"Some-college";10;"Divorced";"Transport-moving";"Not-in-family";"White";"Male";0;0;60;"United-States";0
46;"Federal-gov";97863;"Assoc-voc";11;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";5178;0;40;"United-States";1
37;"Private";305597;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;45;"United-States";1
59;"Local-gov";93211;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Wife";"White";"Female";0;0;22;"United-States";1
26;"Private";290286;"HS-grad";9;"Never-married";"Craft-repair";"Not-in-family";"Black";"Male";0;0;40;"United-States";0
38;"Private";204756;"HS-grad";9;"Never-married";"Sales";"Own-child";"White";"Female";0;0;40;"United-States";0
39;"Private";103710;"HS-grad";9;"Never-married";"Sales";"Unmarried";"White";"Female";0;0;60;"United-States";0
49;"Federal-gov";105586;"Assoc-voc";11;"Married-civ-spouse";"Craft-repair";"Husband";"Asian-Pac-Islander";"Male";0;0;40;"United-States";1
36;"Private";76417;"HS-grad";9;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;52;"United-States";0
18;"Private";238867;"11th";7;"Never-married";"Handlers-cleaners";"Own-child";"White";"Male";0;1602;40;"United-States";0
39;"Local-gov";352628;"Assoc-acdm";12;"Married-civ-spouse";"Craft-repair";"Wife";"White";"Female";0;0;50;"United-States";1
52;"Private";163678;"HS-grad";9;"Married-civ-spouse";"Transport-moving";"Husband";"White";"Male";0;0;55;"United-States";0
28;"Private";48894;"HS-grad";9;"Married-civ-spouse";"Adm-clerical";"Own-child";"White";"Female";0;0;40;"United-States";0
18;"Private";187240;"11th";7;"Never-married";"Handlers-cleaners";"Own-child";"White";"Male";0;0;18;"United-States";0
40;"Private";149466;"HS-grad";9;"Divorced";"Handlers-cleaners";"Not-in-family";"Black";"Male";0;0;35;"United-States";0
27;"Private";255582;"HS-grad";9;"Never-married";"Machine-op-inspct";"Not-in-family";"White";"Female";0;0;40;"United-States";0
43;"Self-emp-not-inc";193494;"Prof-school";15;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;60;"United-States";1
20;"?";169184;"Some-college";10;"Never-married";"?";"Other-relative";"Black";"Female";0;0;40;"United-States";0
54;"Private";21698;"10th";6;"Divorced";"Other-service";"Unmarried";"White";"Female";0;0;40;"United-States";0
34;"Private";206297;"Bachelors";13;"Married-civ-spouse";"Exec-managerial";"Husband";"White";"Male";0;0;48;"United-States";1
50;"State-gov";24647;"Some-college";10;"Married-civ-spouse";"Adm-clerical";"Husband";"White";"Male";0;0;40;"United-States";1
36;"Private";124818;"HS-grad";9;"Married-civ-spouse";"Machine-op-inspct";"Husband";"White";"Male";0;0;40;"United-States";0
18;"?";214989;"Some-college";10;"Never-married";"?";"Own-child";"White";"Female";0;1602;24;"United-States";0
63;"Local-gov";379940;"Bachelors";13;"Married-civ-spouse";"Prof-specialty";"Husband";"White";"Male";0;0;40;"United-States";1
23;"?";263899;"HS-grad";9;"Never-married";"?";"Own-child";"Black";"Male";0;0;12;"England";0
35;"Private";65876;"HS-grad";9;"Married-civ-spouse";"Craft-repair";"Husband";"White";"Male";0;0;40;"United-States";0
